"inegi","year","cve_ent","ent","arma_blanca","arma_fuego","otro","no_especificado","total","pob_tot","tasa_total","tasa_arma_fuego","tasa_arma_blanca","tasa_otro","tasa_ne"
"01000",2015,"01","Aguascalientes",0,0,0,0,0,672453,0,0,0,0,0
"01000",2016,"01","Aguascalientes",0,0,0,0,0,668746,0,0,0,0,0
"01000",2017,"01","Aguascalientes",0,0,0,0,0,677513,0,0,0,0,0
"02000",2015,"02","Baja California",0,1,1,0,2,1665425,0.12,0.06,0,0.06,0
"02000",2016,"02","Baja California",0,0,3,0,3,1761331,0.17,0,0,0.17,0
"02000",2017,"02","Baja California",1,0,1,0,2,1787757,0.11,0,0.06,0.06,0
"03000",2015,"03","Baja California Sur",0,0,0,0,0,352892,0,0,0,0,0
"03000",2016,"03","Baja California Sur",0,0,0,0,0,387602,0,0,0,0,0
"03000",2017,"03","Baja California Sur",0,0,0,0,0,399423,0,0,0,0,0
"04000",2015,"04","Campeche",1,1,2,0,4,458655,0.87,0.22,0.22,0.44,0
"04000",2016,"04","Campeche",2,0,2,0,4,465910,0.86,0,0.43,0.43,0
"04000",2017,"04","Campeche",0,1,0,0,1,472929,0.21,0.21,0,0,0
"05000",2015,"05","Coahuila de Zaragoza",3,2,11,0,16,1492303,1.07,0.13,0.2,0.74,0
"05000",2016,"05","Coahuila de Zaragoza",4,3,7,0,14,1512557,0.93,0.2,0.26,0.46,0
"05000",2017,"05","Coahuila de Zaragoza",1,2,6,0,9,1530175,0.59,0.13,0.07,0.39,0
"06000",2015,"06","Colima",1,3,1,0,5,360444,1.39,0.83,0.28,0.28,0
"06000",2016,"06","Colima",1,12,10,0,23,373170,6.16,3.22,0.27,2.68,0
"06000",2017,"06","Colima",1,1,2,0,4,379599,1.05,0.26,0.26,0.53,0
"07000",2015,"07","Chiapas",7,3,26,0,36,2681187,1.34,0.11,0.26,0.97,0
"07000",2016,"07","Chiapas",9,6,17,0,32,2713821,1.18,0.22,0.33,0.63,0
"07000",2017,"07","Chiapas",14,6,11,0,31,2747975,1.13,0.22,0.51,0.4,0
"08000",2015,"08","Chihuahua",0,0,0,0,0,1804299,0,0,0,0,0
"08000",2016,"08","Chihuahua",0,0,0,0,0,1902943,0,0,0,0,0
"08000",2017,"08","Chihuahua",3,4,5,0,12,1922191,0.62,0.21,0.16,0.26,0
"09000",2015,"09","Ciudad de México",8,8,43,0,59,4687003,1.26,0.17,0.17,0.92,0
"09000",2016,"09","Ciudad de México",3,2,42,0,47,4618048,1.02,0.04,0.06,0.91,0
"09000",2017,"09","Ciudad de México",6,6,27,0,39,4608236,0.85,0.13,0.13,0.59,0
"10000",2015,"10","Durango",2,0,0,0,2,894372,0.22,0,0.22,0,0
"10000",2016,"10","Durango",1,1,0,0,2,906106,0.22,0.11,0.11,0,0
"10000",2017,"10","Durango",1,1,7,0,9,915056,0.98,0.11,0.11,0.76,0
"11000",2015,"11","Guanajuato",6,6,9,0,21,3027308,0.69,0.2,0.2,0.3,0
"11000",2016,"11","Guanajuato",6,4,4,0,14,3046349,0.46,0.13,0.2,0.13,0
"11000",2017,"11","Guanajuato",2,2,8,0,12,3071987,0.39,0.07,0.07,0.26,0
"12000",2015,"12","Guerrero",0,0,1,0,1,1834192,0.05,0,0,0.05,0
"12000",2016,"12","Guerrero",2,7,8,4,21,1850790,1.13,0.38,0.11,0.43,0.22
"12000",2017,"12","Guerrero",1,3,9,0,13,1862147,0.7,0.16,0.05,0.48,0
"13000",2015,"13","Hidalgo",0,0,0,0,0,1489334,0,0,0,0,0
"13000",2016,"13","Hidalgo",4,2,16,0,22,1506573,1.46,0.13,0.27,1.06,0
"13000",2017,"13","Hidalgo",4,0,16,0,20,1524716,1.31,0,0.26,1.05,0
"14000",2015,"14","Jalisco",14,18,24,9,65,4009761,1.62,0.45,0.35,0.6,0.22
"14000",2016,"14","Jalisco",12,8,25,4,49,4090658,1.2,0.2,0.29,0.61,0.1
